,S01,S02,S04,S05,S07,S08,S10,S11,S12,S13,S15,S16,S18,S19,S20,S21,S22,S23,S25,S26,S27,S28,S29,S30,S31,S33,S34,S35
0,3.8446162414954355,4.479560127299387,4.381230216509799,2.9925808060328714,3.75796749986906,4.054332528179827,4.180849211014108,3.148709528950927,3.8607192650635604,5.074377322764052,2.5221772946963283,3.8945096549955913,4.183788606453634,4.22293981440768,4.08069674454099,3.4935087790540305,6.061621825658319,3.9480932434009315,3.026295072971462,4.131975447847264,4.678361736477566,3.8613962958680283,2.8833324897076804,4.366729333006599,4.526769874118495,4.687212816115727,3.1728680082483067,4.932669702354451
1,3.681135209404684,4.488072763616814,4.272515402803951,2.931444660167929,3.680535290578966,3.8423043572850286,4.244746604380907,3.0822817579258106,4.787279766521151,5.200626986668622,3.251430343858881,3.736377129487816,4.0120786557060555,3.927455511048456,3.690163505540755,3.486473079499364,5.81239416250574,4.023619427134164,2.9429523019350383,3.8853612184755852,4.473406953477275,3.7900778559583737,2.7858068271388743,4.37627518617957,4.4155201140396425,4.431228123692416,3.1256769257648926,4.648359112856163
2,3.640066867083825,4.123762048541656,4.20972330469886,3.4315189503402026,5.397071693075249,4.228541150130029,4.079623290161816,4.234908441329578,4.023144184590421,4.9870523838774385,4.498205105964255,3.7981348341075636,3.972566798671271,4.333977772579098,3.5980597403259558,4.131576432361452,4.607943808977421,3.796050683208799,4.034890501174955,4.015997720855807,4.809186689398631,3.8788522002366874,2.967426356878446,4.3090725931354195,4.313153276061627,4.683667165558926,3.45444556686504,4.334271171389603
3,3.933190760138123,4.252552842778776,4.609427245170526,3.0645691705662346,4.8306832570331055,4.553896001880943,4.775434041100092,3.4104628707694515,4.766030632461898,5.325770043791998,5.366504116306412,3.756289272671848,3.755598132657996,4.051647077407296,3.8800615520028785,3.9473034556079964,4.974011953926241,3.909552629146927,3.838413034599797,3.9211876550277007,4.7053887608131895,3.7615985617081122,3.04775162849966,4.3443471929086686,4.544428951637794,4.252749516928869,3.452379131983145,4.232946996753671
4,4.545149943585963,4.151249281449208,4.228582699783568,3.678879163031345,5.237067116962586,4.79808334730962,3.9514595556725385,5.330492827129384,5.128571943480282,5.461308287965286,5.365540062429637,4.245379671379939,4.220650247665957,4.274401536027679,4.054066476136145,5.190625989147724,4.976353900512568,3.8133886219751036,3.8243000443856396,4.028537977352063,5.170863762365238,3.8947804307861817,3.100374066162601,4.793530039779853,4.286950417630987,4.89050969789868,3.854828695457343,3.820142379616511
5,4.124372431998806,4.310144326516754,4.182301573505113,3.7786610253924815,5.326557891124596,4.60873410226597,5.300051199414581,5.052633608579267,4.58178562806846,5.460071265225402,4.881970486548746,4.335595417696375,4.127820889198292,3.7936830413605076,3.741073259704057,5.246984638178702,4.646251324696416,3.953852602456939,3.816961523647839,4.215278502312108,5.150350909247928,3.7861337747669808,3.3195112716819644,4.425637730543108,4.362528835798248,4.634635113480508,3.710725741713956,3.9638127271054624
6,3.438312265622738,4.11151639375416,4.168522591915787,4.242692876268221,4.2905834601035675,4.380971438104856,3.66002027620468,3.5760188861186326,4.624647445270284,5.393815552713637,3.8928976369362345,3.5376736528482065,3.377009727589887,3.7955693836520785,3.4098593756938858,4.182965525756666,4.83217104233597,3.8999202305460052,3.377093033245046,3.851769645885193,5.341282272995016,4.150278664107249,2.755035340778877,4.607265016445977,4.171786519697196,3.8548736899366256,3.7211851526467186,4.026379600688273
7,2.8576456802983747,4.0594410794302656,4.2116187802889264,3.4056080061224936,4.330321578244295,4.271159077000996,4.6058653601940005,3.67296374374619,4.609459401061672,5.081116928661899,3.6238792378393168,3.4615202300496932,3.364221893589218,3.9021996085189983,3.402092183930457,4.120988986359867,4.8807843269548075,3.799097506843202,3.762997050890295,3.9763824511952444,4.906320238407759,3.6759302197422823,2.765386296613283,4.123154761064265,4.260818345203823,3.9798060187673236,3.808849110376515,4.0224689694365265
8,4.089194086722179,5.067863692614718,4.193641181453034,4.796798722084874,4.471532476393694,2.6958465139612287,4.03223472954143,3.4734032192402533,4.910239167214911,5.2191920911081136,3.916168183747217,3.614507167208739,3.494958993107973,4.2147934229323445,3.659195374620134,4.455582067367928,5.399967979932612,4.545657154697213,4.506172190830568,3.9316275719086224,5.419074816382721,4.066118340089039,2.8957982670971845,4.307368250235397,4.194267903700346,4.097866825154977,3.284402123069006,3.8227982865354124
9,3.8816487055479536,4.404502233264883,4.213893812674367,4.902437843165215,4.631479458658935,3.83374672288285,3.9389223608180766,3.6613021386942357,4.956269342448671,5.234177113563029,3.8624588143334044,3.356543051852199,3.817029788073337,4.545254006678055,3.332473099727263,4.183945766320343,5.250475360557923,4.022514703308986,4.510918066218633,3.91208823640342,5.447145478773773,3.6676100269304226,2.988522316225352,4.543457356443339,4.070887143784544,3.986539005350446,3.750449561749482,4.307697421997117
